pacote;artefato_stitch;arquivo;bytes;largura;altura;sha256
04_loans_assets;carteira_de_investimentos;carteira_de_investimentos.png;277433;1600;1280;c2444cd0cc3ca253c81b68eefa217040c4e1cc5051cf7f36bacef2c66e69e217
04_loans_assets;detalhes_do_ativo;detalhes_do_ativo.png;169916;1217;1600;0f42da25008aceb76b0cd323ab39e8d570a75ff870d8eb0af9c32fc93b565673
04_loans_assets;detalhes_do_contrato;detalhes_do_contrato.png;202277;1600;1280;0aa9d8cd6aaafe42325a2f8a1e416a467bd70ca19becff1bcb77214285430112
04_loans_assets;documentos_fontes_de_valor_e_auditoria;documentos_fontes_de_valor_e_auditoria.png;15923;1057;1600;3b3905da5314113c72d8a27945d51f98d12f437ca77ebcc1ffd2b9f47cf58edc
04_loans_assets;empr_stimos_e_financiamentos_vis_o_geral;empr_stimos_e_financiamentos_vis_o_geral.png;369697;1493;1600;156661f63599a992027e6d4019e53f59ea63641bcaae39b939361b5d26b5d858
04_loans_assets;evolu_o_rentabilidade_e_cen_rios;evolu_o_rentabilidade_e_cen_rios.png;240447;1600;1570;b24bda7aa80de680dc42b0a06edf23b3a0af1e29234fc49cc623f3761b51a0f1
04_loans_assets;hist_rico_documentos_e_auditoria;hist_rico_documentos_e_auditoria.png;199161;1600;1280;9a002c50f2d396a8aae4cfdcaf1523ca30a477936e23ca286bfe93d76e3dbefe
04_loans_assets;movimenta_es_e_eventos_patrimoniais;movimenta_es_e_eventos_patrimoniais.png;188406;1600;1280;62d92c349052909b9eb42d597eb48f7ee207832377160b5e10aaea396642211a
04_loans_assets;parcelas_pagamentos_e_concilia_o;parcelas_pagamentos_e_concilia_o.png;243904;1600;1280;07acf0f72ccd76ef30e8e47bf0594ddb7f6f91ea3aabda8cd16acbb8cc27958b
04_loans_assets;patrim_nio_e_investimentos_vis_o_geral;patrim_nio_e_investimentos_vis_o_geral.png;279360;1600;1280;f6be9261b97e3458c17436bec56dabba91b04e1d59db79ceb4595604d3b0d830
05_admin;auditoria_manuten_o_e_atualiza_es;auditoria_manuten_o_e_atualiza_es.png;304639;1600;1280;66730f1b2f858ca39a25c470e2171e2f4cdf7550d1a78d3ed0d3b1a34074638a
05_admin;backup_seguran_a_e_diagn_stico_central_mobile;backup_seguran_a_e_diagn_stico_central_mobile.png;53605;425;964;be979975c212788c61f65619a1f232d1c7ebbbeb4ba4ee662d67417a946382b1
05_admin;backup_seguran_a_e_diagn_stico_vis_o_geral;backup_seguran_a_e_diagn_stico_vis_o_geral.png;289629;1600;1280;3c252f76ec475b523a6bca2aa2216af86e5b782349f3b3b2b0b61aa21b16b7c7
05_admin;backups_destinos_e_reten_o;backups_destinos_e_reten_o.png;146050;1396;1117;b01cba1e6080f65459ce3389ea44e8e035efc6457f0ca2244440b66d81e27ad0
05_admin;restaurar_backup_assistente;restaurar_backup_assistente.png;216898;1600;1280;810f6538db2fa54d3281ed1f76ea507582bb1de7f9909971ae11f28659e98545
05_admin;sa_de_do_sistema_e_diagn_stico;sa_de_do_sistema_e_diagn_stico.png;263649;1600;1280;3c596e2a763a1aab0c6cd2304b6138dd93b9db1bd529f7c558311ad617a0ebd2
05_admin;segredos_privacidade_e_integra_es;segredos_privacidade_e_integra_es.png;282890;1600;1280;d5f2b913a90507e84b0f510e53c0b0abb1104a7fa1cdd207fd200bc721d6f1d9
05_admin;seguran_a_acessos_e_sess_es;seguran_a_acessos_e_sess_es.png;321795;1600;1280;1dac8de0221e5a0db998e82635a919b4086ccb483c369830c775ccc9a90c7379
